frame,timestamp_sec,track_id,class,confidence,x1,y1,x2,y2
224,7.48,26,boneka-asli,0.6708,7,205,474,889
224,7.48,37,boneka-asli,0.6322,753,709,1453,1079
224,7.48,42,boneka-dummy,0.6458,824,1,1303,134
225,7.51,26,boneka-asli,0.6708,3,211,455,900
225,7.51,37,boneka-asli,0.6322,742,707,1437,1079
225,7.51,42,boneka-dummy,0.6458,782,0,1268,136
226,7.55,26,boneka-asli,0.6708,1,215,439,921
226,7.55,42,boneka-dummy,0.6458,745,0,1236,138
227,7.58,26,boneka-asli,0.6708,0,222,423,938
227,7.58,37,boneka-asli,0.6322,693,708,1386,1079
227,7.58,42,boneka-dummy,0.6458,705,0,1209,144
228,7.61,26,boneka-asli,0.6708,0,233,408,962
228,7.61,37,boneka-asli,0.6322,675,720,1342,1079
228,7.61,42,boneka-dummy,0.6458,672,0,1188,149
229,7.65,26,boneka-asli,0.6708,0,247,392,991
229,7.65,37,boneka-asli,0.6322,687,734,1323,1079
229,7.65,42,boneka-dummy,0.6458,638,0,1173,157
230,7.68,26,boneka-asli,0.6708,0,268,375,1020
230,7.68,37,boneka-asli,0.6322,709,756,1304,1079
230,7.68,42,boneka-dummy,0.6458,602,3,1164,172
231,7.71,26,boneka-asli,0.6708,0,294,360,1047
231,7.71,37,boneka-asli,0.6322,721,781,1275,1079
231,7.71,42,boneka-dummy,0.6458,576,11,1149,187
232,7.75,26,boneka-asli,0.6708,0,325,348,1063
232,7.75,37,boneka-asli,0.6322,741,802,1261,1079
232,7.75,42,boneka-dummy,0.6458,560,27,1141,209
233,7.78,26,boneka-asli,0.6708,0,360,341,1071
233,7.78,37,boneka-asli,0.6322,789,833,1257,1079
233,7.78,42,boneka-dummy,0.6458,552,50,1134,238
234,7.81,26,boneka-asli,0.6708,0,401,342,1075
235,7.85,26,boneka-asli,0.6708,9,449,348,1077
236,7.88,26,boneka-asli,0.6708,29,505,354,1078
237,7.91,26,boneka-asli,0.6708,54,570,361,1079
238,7.95,26,boneka-asli,0.6708,87,637,377,1079
239,7.98,26,boneka-asli,0.6708,126,709,395,1079
240,8.01,26,boneka-asli,0.6708,193,785,433,1079
249,8.31,55,boneka-asli,0.7082,424,772,869,1079
250,8.35,55,boneka-asli,0.7082,422,751,897,1079
251,8.38,55,boneka-asli,0.7082,410,719,930,1079
251,8.38,56,boneka-dummy,0.6922,1205,294,1702,508
252,8.41,55,boneka-asli,0.7082,387,678,963,1079
252,8.41,56,boneka-dummy,0.6922,1245,276,1748,493
253,8.45,55,boneka-asli,0.7082,370,636,998,1079
253,8.45,56,boneka-dummy,0.6922,1264,247,1775,467
254,8.48,55,boneka-asli,0.7082,361,597,1036,1079
254,8.48,56,boneka-dummy,0.6922,1302,212,1816,435
255,8.51,55,boneka-asli,0.7082,354,554,1075,1079
255,8.51,56,boneka-dummy,0.6922,1336,173,1867,405
256,8.55,55,boneka-asli,0.7082,351,510,1115,1079
256,8.55,56,boneka-dummy,0.6922,1335,121,1893,380
257,8.58,55,boneka-asli,0.7082,351,464,1155,1078
257,8.58,56,boneka-dummy,0.6922,1335,65,1906,350
258,8.61,55,boneka-asli,0.7082,366,417,1184,1058
258,8.61,56,boneka-dummy,0.6922,1345,32,1913,327
259,8.65,56,boneka-dummy,0.6922,1381,16,1916,295
260,8.68,55,boneka-asli,0.7082,417,358,1211,995
260,8.68,56,boneka-dummy,0.6922,1446,8,1918,251
261,8.71,55,boneka-asli,0.7082,466,318,1232,946
261,8.71,56,boneka-dummy,0.6922,1501,4,1919,216
262,8.75,55,boneka-asli,0.7082,506,291,1249,915
263,8.78,55,boneka-asli,0.7082,538,269,1267,895
264,8.81,55,boneka-asli,0.7082,565,251,1285,880
267,8.91,55,boneka-asli,0.7082,600,234,1322,875
269,8.98,55,boneka-asli,0.7082,638,220,1368,876
272,9.08,55,boneka-asli,0.7082,675,194,1424,875
274,9.15,55,boneka-asli,0.7082,696,159,1460,868
275,9.18,55,boneka-asli,0.7082,708,129,1481,859
276,9.21,55,boneka-asli,0.7082,724,103,1503,852
277,9.25,55,boneka-asli,0.7082,737,78,1520,841
278,9.28,55,boneka-asli,0.7082,739,51,1521,826
279,9.32,55,boneka-asli,0.7082,753,27,1527,805
280,9.35,55,boneka-asli,0.7082,777,13,1541,784
281,9.38,55,boneka-asli,0.7082,803,6,1550,760
282,9.42,55,boneka-asli,0.7082,825,3,1558,739
283,9.45,55,boneka-asli,0.7082,841,1,1563,722
283,9.45,59,boneka-asli,0.7453,30,0,937,1080
284,9.48,55,boneka-asli,0.7082,854,0,1575,714
284,9.48,59,boneka-asli,0.7453,34,0,942,1080
285,9.52,55,boneka-asli,0.7082,862,0,1588,713
288,9.62,55,boneka-asli,0.7082,860,0,1616,740
289,9.65,55,boneka-asli,0.7082,856,0,1641,769
290,9.68,55,boneka-asli,0.7082,849,0,1657,795
291,9.72,55,boneka-asli,0.7082,824,0,1650,825
292,9.75,55,boneka-asli,0.7082,799,0,1642,859
293,9.78,55,boneka-asli,0.7082,802,5,1650,884
294,9.82,55,boneka-asli,0.7082,812,16,1657,903
295,9.85,55,boneka-asli,0.7082,819,31,1656,920
296,9.88,55,boneka-asli,0.7082,817,46,1645,935
297,9.92,55,boneka-asli,0.7082,798,62,1610,949
298,9.95,55,boneka-asli,0.7082,792,74,1589,952
299,9.98,55,boneka-asli,0.7082,787,87,1569,950
300,10.02,55,boneka-asli,0.7082,766,96,1526,943
301,10.05,55,boneka-asli,0.7082,756,97,1504,935
302,10.08,55,boneka-asli,0.7082,744,97,1483,927
303,10.12,55,boneka-asli,0.7082,726,98,1459,921
304,10.15,55,boneka-asli,0.7082,705,101,1432,916
305,10.18,55,boneka-asli,0.7082,683,106,1402,912
306,10.22,55,boneka-asli,0.7082,657,109,1374,910
307,10.25,55,boneka-asli,0.7082,632,110,1349,910
309,10.32,55,boneka-asli,0.7082,603,111,1321,912
309,10.32,59,boneka-asli,0.7453,17,48,844,1080
310,10.35,55,boneka-asli,0.7082,580,113,1300,915
313,10.45,55,boneka-asli,0.7082,541,112,1272,926
314,10.48,55,boneka-asli,0.7082,516,114,1254,934
314,10.48,59,boneka-asli,0.7453,8,114,744,1080
315,10.52,55,boneka-asli,0.7082,497,118,1244,947
315,10.52,59,boneka-asli,0.7453,4,152,680,1080
316,10.55,55,boneka-asli,0.7082,480,119,1235,956
316,10.55,59,boneka-asli,0.7453,2,179,635,1080
317,10.58,55,boneka-asli,0.7082,465,120,1226,964
317,10.58,59,boneka-asli,0.7453,1,198,607,1080
318,10.62,55,boneka-asli,0.7082,452,127,1216,973
318,10.62,59,boneka-asli,0.7453,0,207,588,1080
319,10.65,55,boneka-asli,0.7082,440,128,1210,978
319,10.65,59,boneka-asli,0.7453,0,214,573,1080
320,10.68,55,boneka-asli,0.7082,434,130,1202,978
320,10.68,59,boneka-asli,0.7453,0,215,563,1080
321,10.72,55,boneka-asli,0.7082,432,130,1198,973
321,10.72,59,boneka-asli,0.7453,0,207,562,1080
322,10.75,55,boneka-asli,0.7082,433,125,1196,966
322,10.75,59,boneka-asli,0.7453,0,193,566,1080
323,10.78,55,boneka-asli,0.7082,437,120,1199,958
323,10.78,59,boneka-asli,0.7453,0,180,570,1080
324,10.82,55,boneka-asli,0.7082,449,113,1208,947
324,10.82,59,boneka-asli,0.7453,0,170,575,1080
325,10.85,55,boneka-asli,0.7082,461,104,1220,937
325,10.85,59,boneka-asli,0.7453,0,149,584,1080
326,10.88,55,boneka-asli,0.7082,475,99,1233,929
326,10.88,59,boneka-asli,0.7453,0,143,591,1080
327,10.92,55,boneka-asli,0.7082,495,89,1253,917
327,10.92,59,boneka-asli,0.7453,0,112,610,1080
328,10.95,55,boneka-asli,0.7082,518,75,1276,901
328,10.95,59,boneka-asli,0.7453,0,89,631,1080
329,10.98,55,boneka-asli,0.7082,549,64,1302,882
329,10.98,59,boneka-asli,0.7453,1,54,659,1080
330,11.02,55,boneka-asli,0.7082,586,45,1345,866
330,11.02,59,boneka-asli,0.7453,11,28,692,1080
331,11.05,55,boneka-asli,0.7082,630,25,1396,849
331,11.05,59,boneka-asli,0.7453,23,14,722,1080
332,11.08,55,boneka-asli,0.7082,683,12,1451,832
332,11.08,59,boneka-asli,0.7453,37,7,752,1080
333,11.12,55,boneka-asli,0.7082,740,6,1509,818
333,11.12,59,boneka-asli,0.7453,55,3,788,1080
334,11.15,55,boneka-asli,0.7082,805,3,1577,808
334,11.15,59,boneka-asli,0.7453,75,1,827,1080
335,11.18,55,boneka-asli,0.7082,869,1,1645,800
335,11.18,59,boneka-asli,0.7453,91,0,866,1080
336,11.22,55,boneka-asli,0.7082,935,2,1710,789
336,11.22,59,boneka-asli,0.7453,112,0,913,1080
337,11.25,55,boneka-asli,0.7082,999,1,1780,784
337,11.25,59,boneka-asli,0.7453,143,0,971,1080
338,11.28,55,boneka-asli,0.7082,1047,0,1833,779
339,11.32,55,boneka-asli,0.7082,1088,0,1875,775
340,11.35,55,boneka-asli,0.7082,1120,0,1897,774
341,11.39,55,boneka-asli,0.7082,1150,0,1908,775
342,11.42,55,boneka-asli,0.7082,1175,0,1914,782
343,11.45,55,boneka-asli,0.7082,1197,0,1917,794
344,11.49,55,boneka-asli,0.7082,1217,0,1918,809
345,11.52,55,boneka-asli,0.7082,1237,0,1919,820
346,11.55,55,boneka-asli,0.7082,1254,2,1919,831
347,11.59,55,boneka-asli,0.7082,1277,29,1919,846
348,11.62,55,boneka-asli,0.7082,1284,36,1919,865
349,11.65,55,boneka-asli,0.7082,1283,37,1919,889
350,11.69,55,boneka-asli,0.7082,1281,37,1919,911
351,11.72,55,boneka-asli,0.7082,1283,46,1919,933
352,11.75,55,boneka-asli,0.7082,1289,60,1919,952
353,11.79,55,boneka-asli,0.7082,1300,74,1919,967
354,11.82,55,boneka-asli,0.7082,1320,111,1919,977
355,11.85,55,boneka-asli,0.7082,1355,166,1919,985
356,11.89,55,boneka-asli,0.7082,1386,202,1919,985
357,11.92,55,boneka-asli,0.7082,1414,210,1919,980
358,11.95,55,boneka-asli,0.7082,1441,210,1919,975
359,11.99,55,boneka-asli,0.7082,1453,166,1919,985
360,12.02,55,boneka-asli,0.7082,1463,115,1919,1018
360,12.02,59,boneka-asli,0.7453,514,0,1341,995
361,12.05,59,boneka-asli,0.7453,707,0,1556,938
438,14.62,63,boneka-dummy,0.5907,1514,0,1901,1080
440,14.69,63,boneka-dummy,0.5907,1486,0,1875,1080
441,14.72,63,boneka-dummy,0.5907,1459,0,1853,1080
442,14.76,63,boneka-dummy,0.5907,1425,0,1827,1080
444,14.82,63,boneka-dummy,0.5907,1378,0,1795,1080
445,14.86,63,boneka-dummy,0.5907,1330,0,1767,1080
458,15.29,65,boneka-asli,0.7974,1413,0,1911,830
459,15.32,65,boneka-asli,0.7974,1407,0,1911,840
460,15.36,65,boneka-asli,0.7974,1394,0,1905,851
461,15.39,65,boneka-asli,0.7974,1378,0,1899,866
462,15.43,65,boneka-asli,0.7974,1348,0,1892,899
463,15.46,65,boneka-asli,0.7974,1312,0,1884,940
464,15.49,65,boneka-asli,0.7974,1270,0,1878,990
465,15.53,65,boneka-asli,0.7974,1237,11,1869,1033
466,15.56,65,boneka-asli,0.7974,1209,29,1853,1056
467,15.59,65,boneka-asli,0.7974,1188,57,1831,1068
468,15.63,65,boneka-asli,0.7974,1175,88,1811,1074
469,15.66,65,boneka-asli,0.7974,1169,121,1797,1077
470,15.69,65,boneka-asli,0.7974,1162,148,1784,1078
471,15.73,65,boneka-asli,0.7974,1157,175,1773,1079
472,15.76,65,boneka-asli,0.7974,1148,201,1760,1079
473,15.79,65,boneka-asli,0.7974,1140,224,1748,1079
474,15.83,65,boneka-asli,0.7974,1135,244,1741,1079
475,15.86,65,boneka-asli,0.7974,1134,263,1740,1079
476,15.89,65,boneka-asli,0.7974,1122,280,1726,1079
477,15.93,65,boneka-asli,0.7974,1110,295,1712,1079
478,15.96,65,boneka-asli,0.7974,1101,310,1700,1079
479,15.99,65,boneka-asli,0.7974,1097,337,1684,1079
480,16.03,65,boneka-asli,0.7974,1086,352,1671,1079
481,16.06,65,boneka-asli,0.7974,1069,361,1654,1079
482,16.09,65,boneka-asli,0.7974,1045,365,1634,1079
483,16.13,65,boneka-asli,0.7974,1014,367,1607,1079
484,16.16,65,boneka-asli,0.7974,983,368,1581,1079
485,16.19,65,boneka-asli,0.7974,940,364,1544,1079
486,16.23,65,boneka-asli,0.7974,902,361,1512,1079
487,16.26,65,boneka-asli,0.7974,865,359,1480,1079
488,16.29,65,boneka-asli,0.7974,823,356,1442,1079
489,16.33,65,boneka-asli,0.7974,780,354,1402,1079
490,16.36,65,boneka-asli,0.7974,736,353,1361,1079
491,16.39,65,boneka-asli,0.7974,694,354,1320,1079
492,16.43,65,boneka-asli,0.7974,648,357,1274,1079
493,16.46,65,boneka-asli,0.7974,605,353,1236,1079
494,16.49,65,boneka-asli,0.7974,562,347,1199,1079
495,16.53,65,boneka-asli,0.7974,515,341,1159,1079
496,16.56,65,boneka-asli,0.7974,471,333,1121,1079
497,16.59,65,boneka-asli,0.7974,431,323,1089,1079
498,16.63,65,boneka-asli,0.7974,393,317,1055,1079
499,16.66,65,boneka-asli,0.7974,345,320,1006,1079
500,16.69,65,boneka-asli,0.7974,301,319,963,1079
501,16.73,65,boneka-asli,0.7974,247,319,911,1079
502,16.76,65,boneka-asli,0.7974,196,314,866,1079
503,16.79,65,boneka-asli,0.7974,144,311,816,1079
504,16.83,65,boneka-asli,0.7974,84,308,760,1079
505,16.86,65,boneka-asli,0.7974,42,313,703,1079
506,16.89,65,boneka-asli,0.7974,21,319,648,1079
507,16.93,65,boneka-asli,0.7974,10,325,593,1079
508,16.96,65,boneka-asli,0.7974,5,335,534,1079
509,16.99,65,boneka-asli,0.7974,2,355,469,1079
510,17.03,65,boneka-asli,0.7974,1,368,402,1078
524,17.50,68,boneka-asli,0.5987,1132,885,1909,1080
534,17.83,68,boneka-asli,0.5987,1165,846,1914,1080
535,17.86,68,boneka-asli,0.5987,1193,828,1917,1080
536,17.90,68,boneka-asli,0.5987,1201,818,1918,1080
537,17.93,68,boneka-asli,0.5987,1219,812,1919,1080
538,17.96,68,boneka-asli,0.5987,1226,807,1919,1080
539,18.00,68,boneka-asli,0.5987,1210,808,1919,1080
540,18.03,68,boneka-asli,0.5987,1180,810,1919,1080
541,18.06,68,boneka-asli,0.5987,1159,808,1918,1080
542,18.10,68,boneka-asli,0.5987,1143,802,1915,1080
