frame,timestamp_sec,class,confidence,x1,y1,x2,y2
180,6.01,boneka-asli,0.5871,978,29,1381,630
180,6.01,boneka-asli,0.5500,1077,896,1600,1078
181,6.04,boneka-dummy,0.5344,980,33,1386,632
182,6.08,boneka-asli,0.5147,979,27,1381,637
183,6.11,boneka-asli,0.6840,974,28,1385,641
184,6.14,boneka-asli,0.6150,964,38,1382,645
184,6.14,boneka-asli,0.5412,1536,693,1918,913
185,6.18,boneka-asli,0.6809,958,42,1378,653
186,6.21,boneka-asli,0.6211,944,54,1375,662
187,6.24,boneka-asli,0.5968,1583,699,1919,1080
187,6.24,boneka-asli,0.5505,938,62,1361,668
188,6.28,boneka-asli,0.7243,1580,704,1919,1080
188,6.28,boneka-asli,0.5820,922,60,1353,675
189,6.31,boneka-asli,0.5173,1558,709,1918,1080
190,6.34,boneka-asli,0.5511,891,65,1335,684
191,6.38,boneka-asli,0.6413,880,72,1330,686
191,6.38,boneka-asli,0.5993,1535,602,1920,1080
192,6.41,boneka-asli,0.6409,1480,718,1920,1080
193,6.44,boneka-asli,0.6951,1479,702,1920,1080
193,6.44,boneka-asli,0.5033,1419,737,1798,954
194,6.48,boneka-asli,0.6471,1437,692,1920,1080
194,6.48,boneka-asli,0.5818,841,91,1274,692
195,6.51,boneka-asli,0.5267,1381,754,1770,962
196,6.54,boneka-asli,0.5244,1364,768,1714,969
196,6.54,boneka-asli,0.5124,787,107,1228,704
197,6.58,boneka-asli,0.6220,1491,690,1919,1077
197,6.58,boneka-asli,0.5247,767,114,1206,713
198,6.61,boneka-asli,0.6531,1490,706,1920,1080
199,6.64,boneka-asli,0.6532,1497,692,1917,1080
200,6.68,boneka-asli,0.6170,1511,673,1919,1080
200,6.68,boneka-asli,0.5041,1270,789,1703,1001
201,6.71,boneka-asli,0.7333,1509,712,1919,1080
201,6.71,boneka-asli,0.6310,679,134,1119,732
202,6.74,boneka-asli,0.6687,1469,690,1919,1080
202,6.74,boneka-asli,0.5633,1225,787,1676,1010
203,6.78,boneka-asli,0.6943,1346,713,1919,1080
203,6.78,boneka-asli,0.6381,640,153,1081,754
204,6.81,boneka-asli,0.6970,1383,708,1919,1080
204,6.81,boneka-asli,0.6317,615,153,1054,762
204,6.81,boneka-asli,0.5046,1186,794,1628,1035
205,6.84,boneka-asli,0.7157,1349,711,1919,1080
205,6.84,boneka-asli,0.5877,587,164,1035,770
206,6.88,boneka-asli,0.6642,1291,738,1919,1080
206,6.88,boneka-asli,0.6440,0,325,723,1080
206,6.88,boneka-asli,0.5247,1147,832,1585,1063
207,6.91,boneka-asli,0.7341,1,332,703,1080
207,6.91,boneka-asli,0.6384,1195,741,1911,1080
207,6.91,boneka-asli,0.5090,543,179,1000,794
207,6.91,boneka-dummy,0.5044,1336,2,1802,124
208,6.94,boneka-asli,0.6972,1334,739,1887,1080
208,6.94,boneka-asli,0.5661,1110,836,1530,1074
208,6.94,boneka-dummy,0.5237,1304,2,1787,127
209,6.98,boneka-asli,0.6957,0,357,679,1080
209,6.98,boneka-asli,0.6662,1315,743,1883,1080
209,6.98,boneka-asli,0.6345,1083,846,1529,1080
209,6.98,boneka-dummy,0.5982,488,198,944,802
209,6.98,boneka-dummy,0.5563,1300,3,1778,134
210,7.01,boneka-asli,0.7149,0,398,627,1080
210,7.01,boneka-asli,0.6665,1259,756,1871,1080
210,7.01,boneka-dummy,0.5856,1269,1,1730,134
